city_id,city_name,state_id,state_code,county_area
1022,Mint Hill,10,NC,Mecklenburg
1023,Misenheimer,10,NC,Stanly
1024,Mission Hills,6,KS,"Johnson, KS"
1025,Mission,6,KS,"Johnson, KS"
1026,Moberly,8,MO,Monroe
1027,Mocksville,10,NC,Davie
1028,Moffat,2,CO,Saguache
1029,Mokena,5,IL,Will
1030,Monroe,10,NC,Union
1031,Monroe,13,TN,"Pickett County, TN"
1032,Monteagle,13,TN,"Marion County, TN"
1033,Monterey,13,TN,"Putnam County, TN"
1034,Montesano,15,WA,Grays Harbor
1035,Montgomery,14,TX,Montgomery
1036,Monument,2,CO,El Paso
1037,Mooresboro,10,NC,Rutherford
1038,Mooresville,10,NC,Iredell
1039,Moran,6,KS,Allen
1040,Moravian Falls,10,NC,Wilkes
1041,Morganton,10,NC,Burke
1042,Morrison,2,CO,Jefferson
1043,Morrison,13,TN,"Warren County, TN"
1044,Morrisville,10,NC,Iredell
1045,Morris,5,IL,Grundy
1046,Morven,10,NC,Anson
1047,Mosca,2,CO,Alamosa
1048,Moss,13,TN,"Clay County, TN"
1049,Mound City,6,KS,"Linn, KS"
1050,Mound City,8,MO,Holt
1051,Mound Valley,6,KS,Labette
1052,Moundville,8,MO,Vernon
1053,Mount Airy,10,NC,Surry
1054,Mount Gilead,10,NC,Montgomery
1055,Mount Holly,10,NC,Gaston
1056,Mount Juliet,13,TN,"Wilson County, TN"
1057,Mount Olive,5,IL,Macoupin-IL
1058,Mount Pleasant,10,NC,Cabarrus
1059,Mount Pleasant,13,TN,"Maury County, TN"
1060,Mount Prospect,5,IL,Cook
1061,Mountain City,14,TX,Hays
1062,Mt Croghan,12,SC,Chesterfield
1063,Mt Ulla,10,NC,Rowan
1064,Muldoon,14,TX,Fayette
1065,Murfreesboro,13,TN,"Rutherford County, TN"
1066,Murphysboro,5,IL,Jackson-IL
1067,Murphy,10,NC,CherokeeNC
1068,Mustang Ridge,14,TX,Travis
1069,Myrtle Beach,12,SC,Horry
1070,NEW PORT RICHEY,3,FL,Pasco
1071,NEW SMYRNA BEACH,3,FL,Volusia
1072,NEWBERRY,3,FL,Alachua
1073,NOKOMIS,3,FL,Sarasota
1074,NORTH FORT MYERS,3,FL,Lee
1075,NORTH PORT,3,FL,Sarasota
1076,NORTH VENICE,3,FL,Sarasota
1077,Naperville,5,IL,Du Page
1078,Napoleon,8,MO,Lafayette
1079,Nashville,13,TN,"Davidson County, TN"
1080,Nebo,10,NC,McDowell
1081,Nederland,2,CO,Boulder
1082,Neodesha,6,KS,Wilson
1083,Nevada,8,MO,Vernon
1084,New Bern,10,NC,Craven
1085,New Braunfels,14,TX,Guadalupe
1086,New Johnsonville,13,TN,"Humphreys County, TN"
1087,New London,10,NC,Montgomery
1088,Newbern,13,TN,Dyer
1089,Newberry,12,SC,Newberry
1090,Newland,10,NC,Avery
1091,Newton,10,NC,Catawba
1092,Niwot,2,CO,Boulder
1093,Nolensville,13,TN,"Davidson County, TN"
1094,None/County,6,KS,Harvey
1095,Normal,5,IL,Mc Lean
1096,Normandy,13,TN,"Bedford County, TN"
1097,North Aurora,5,IL,Kane
1098,North Kansas City,8,MO,Clay
1099,North Myrtle Beach,12,SC,Horry
1100,North Wilkesboro,10,NC,Wilkes
1101,Northbrook,5,IL,Cook
1102,Northglenn,2,CO,Adams
1103,North,12,SC,Orangeburg
1104,Norwood,10,NC,Stanly
1105,Nunnelly,13,TN,"Hickman County, TN"
1106,Nunn,2,CO,Weld
1107,O'Fallon,8,MO,St Charles
1108,OAKLAND,3,FL,Orange
1109,OCALA,3,FL,Marion
1110,OCKLAWAHA,3,FL,Marion
1111,OCOEE,3,FL,Orange
1112,ODESSA,3,FL,Hillsborough
1113,OKEECHOBEE,3,FL,Okeechobee
1114,OLDSMAR,3,FL,Pinellas
1115,ORANGE CITY,3,FL,Volusia
1116,ORLANDO,3,FL,Orange
1117,ORMOND BEACH,3,FL,Volusia
1118,OSPREY,3,FL,Sarasota
1119,OVIEDO,3,FL,Seminole
1120,OXFORD,3,FL,Sumter
1121,Oak Grove,7,KY,"Christian County, KY"
1122,Oak Grove,8,MO,Jackson
1123,Oak Island,10,NC,Brunswick
1124,Oak Park,5,IL,Cook
1125,Oakalla,14,TX,Burnet
1126,Oakboro,10,NC,Stanly
1127,Ocean Shores,15,WA,Grays Harbor
1128,Odessa,8,MO,Lafayette
1129,Olathe,6,KS,"Johnson, KS"
1130,Old Fort,10,NC,McDowell
