location_id,location_code,location_name,location_type,area,city,state_code,country,latitude,longitude
163,USCONBQTZNYCII,Brantner Village,neighborhood,Adams,Thornton,CO,US,39.92376364,-104.89438099
164,USCONBBSUFBEMQ,BRIAR RIDGE FILING 1,neighborhood,Adams,Thornton,CO,US,39.90919,-104.938419
165,USCONBIOJZGGVZ,Deer Run,neighborhood,Adams,Thornton,CO,US,39.9248494,-104.92675369
166,USCONBMNANFMMQ,DEER RUN PLANNED UNIT DEVELOPMENT,neighborhood,Adams,Thornton,CO,US,39.92116,-104.928003
167,USCONBIPQKRXIW,Fallbrook Subdivision,neighborhood,Adams,Thornton,CO,US,39.95138339,-104.94069122
168,USCONBESHTQDKR,Harvest Ridge,neighborhood,Adams,Thornton,CO,US,39.87712,-104.96313
169,USCONBHCQSNHON,Holly Ridge,neighborhood,Adams,Thornton,CO,US,39.90053547,-104.92377394
170,USCONBYLMYJBBK,Lakeview Estates,neighborhood,Adams,Thornton,CO,US,39.97900618,-104.89251916
171,USCONBZMSTNUNL,North Creek Farms,neighborhood,Adams,Thornton,CO,US,39.99883881,-104.96342345
172,USCONBYEAVWCBX,Peachtree Homes At The Lakes,neighborhood,Adams,Thornton,CO,US,39.93041758,-104.9593112
173,USCONBFMMAGWQK,Quebec Riverdale,neighborhood,Adams,Thornton,CO,US,39.93470816,-104.90528546
174,USCONBRGEEALEM,Riverdale,neighborhood,Adams,Thornton,CO,US,39.929994,-104.916072
175,USCONBMRNBBSFY,Riverdale Heights,neighborhood,Adams,Thornton,CO,US,39.87968979,-104.94918436
176,USCONBDTHHAUGO,Sage Valley Condo,neighborhood,Adams,Thornton,CO,US,39.88542476,-104.94945285
177,USCONBAKMIDWFG,Settlers Chase Prospects,neighborhood,Adams,Thornton,CO,US,39.88302,-104.94819
178,USCONBKKAUPWQB,Sundance At Lambertson Lakes,neighborhood,Adams,Thornton,CO,US,39.87615564,-104.9768766
179,USNCNBKMRURKGK,OAKVIEW COMMONS,neighborhood,,Salisbury,NC,US,35.631344,-80.457516
180,USNCNBPIJOCQYJ,ARCHER FARM,neighborhood,,Salisbury,NC,US,35.721223,-80.445094
181,USNCNBBELHHSYM,AUTUMN WOOD,neighborhood,,Salisbury,NC,US,35.593025,-80.42591
182,USNCNBECHUFEJD,BROWN ACRES,neighborhood,,Salisbury,NC,US,35.60419,-80.426178
183,USNCNBRWYTWDEU,CASTLEWOOD,neighborhood,,Salisbury,NC,US,35.656972,-80.502763
184,USNCNBWBGRKRMI,DRUMMOND VILLAGE,neighborhood,,Salisbury,NC,US,35.636427,-80.388649
185,USNCNBAZCEYVSY,GLENN WOOD ACRES,neighborhood,,Salisbury,NC,US,35.652055,-80.408753
186,USNCNBGVRLTAIY,KINGS TERRACE,neighborhood,,Salisbury,NC,US,35.58802,-80.541324
187,USNCNBQOYREDYE,KLUTTZ ACRES,neighborhood,,Salisbury,NC,US,35.646997,-80.558594
188,USNCNBHAJVEYMP,MILFORD KNOLL,neighborhood,,Salisbury,NC,US,35.696109,-80.503021
189,USNCNBPTIYZDQD,OLDE SALISBURY,neighborhood,,Salisbury,NC,US,35.6381625,-80.47186300000001
190,USNCNBPKLDVIIE,ORCHARD HILLS,neighborhood,,Salisbury,NC,US,35.613505705,-80.4992469
191,USNCNBRNMPADEA,PLEASANT COVE,neighborhood,,Salisbury,NC,US,35.60815,-80.320101
192,USNCNBUTJWJVNX,PROVIDENCE COUNTRY,neighborhood,,Salisbury,NC,US,35.637476,-80.366818
193,USNCNBRIVLYQIO,SHORE ACRES,neighborhood,,Salisbury,NC,US,35.600574,-80.3385
194,USNCNBUMRJQOUX,TEST,neighborhood,,Salisbury,NC,US,35.692249,-80.414558
195,USNCNBZHOEGNYN,WEST RIDGE,neighborhood,,Salisbury,NC,US,35.652169405,-80.559154025
196,USNCNBGLNEYGKX,WESTWOOD,neighborhood,,Salisbury,NC,US,35.68217404,-80.53409231
197,USNCNBXQWSFWTV,WOODSIDE,neighborhood,,Salisbury,NC,US,35.614864,-80.452812
198,USNCNBLHEFHPNI,FREEDOM PARK,neighborhood,,Kannapolis,NC,US,35.477554,-80.602158
199,USNCNBNYHQAJKK,MALLARD POINTE,neighborhood,,Kannapolis,NC,US,35.488773,-80.589319
200,USNCNBLRIAWNHT,BROOKS TERRACE,neighborhood,,Rockwell,NC,US,35.526628,-80.442778
201,USNCNBSRPBSJOC,COUNTRY PLACE ESTATES,neighborhood,,Rockwell,NC,US,35.522472,-80.381272
202,USNCNBAFYUNCGC,MIDDLE BROOK,neighborhood,,Rockwell,NC,US,35.517335,-80.418893
203,USNCNBRQNUCWMG,COCHRAN FARMS,neighborhood,,Concord,NC,US,35.3481,-80.6433
204,USNCNBQYTQSOZI,LAUREL PARK,neighborhood,,Concord,NC,US,35.404461315000006,-80.6535475
205,USNCNBCLPIGOTB,WINDY RIDGE,neighborhood,,Concord,NC,US,35.44793647,-80.70418042
206,USNCNBFYQAFMCU,YATES MEADOW,neighborhood,,Concord,NC,US,35.38507250000001,-80.660067
207,USNCNBLCNLNNMJ,OAKWOOD ACRES,neighborhood,,Lexington,NC,US,35.696540999999996,-80.21838149999999
208,USNCNBYBOTHHGG,EDGEWOOD,neighborhood,,Landis,NC,US,35.545368,-80.597484
209,USNCNBIWWEEXZQ,NONE,neighborhood,,Cleveland,NC,US,35.728182375,-80.67752702499999
210,USNCNBUXLWVSQS,HILL N DALE FARM,neighborhood,,Cleveland,NC,US,35.7461,-80.686284
211,USNCNBCNOSGVNX,NONE,neighborhood,,Gold Hill,NC,US,35.57953757,-80.33180815
212,USNCNBKSKMPUGB,NONE,neighborhood,,Mount Pleasant,NC,US,35.40187383,-80.440402
213,USNCNBBZQXTUHO,RAYON PARK,neighborhood,,Statesville,NC,US,35.7804325,-80.9216985
214,USNCNBTIREDRER,NONE,neighborhood,,Linwood,NC,US,35.7614305,-80.3977035
215,USCONBIUZVGXWE,HERITAGE TODD CREEK,neighborhood,Adams,Thornton,CO,US,39.9709959,-104.88809814000001
216,USCONBJGPWLJSU,Thornton,neighborhood,Adams,Thornton,CO,US,39.85907483,-104.96357188
217,USCONBKIKXXXHN,Parkside,neighborhood,Adams,Thornton,CO,US,39.88008553,-105.00769958000001
218,USCONBQBYLYICL,Amber Creek,neighborhood,Adams,Thornton,CO,US,39.93937848,-104.90689663
219,USCONBVMOMGSWT,Cottonwood Lakes,neighborhood,Adams,Thornton,CO,US,39.93242152,-104.94497419
220,USCONBTYHHUFRI,North Hill,neighborhood,Adams,Thornton,CO,US,39.95495821,-104.92104658
221,USCONBHGNRONRN,Eastlake Village,neighborhood,Adams,Thornton,CO,US,39.9231635,-104.956852
222,USCONBJNYVNUSX,Homestead Hills,neighborhood,Adams,Thornton,CO,US,39.947589305,-104.93606812
223,USCONBNXVQONQN,Mayfield,neighborhood,Adams,Thornton,CO,US,39.910294955,-104.909894065
224,USCONBVQGKITSH,River Valley Village,neighborhood,Adams,Thornton,CO,US,39.872739485,-104.93605726999999
225,USCONBXIHUUDRE,Arras Park,neighborhood,Adams,Thornton,CO,US,39.88298107,-104.95043036
